,Word,Count
1355,spent,31
1356,falls,31
1357,drunk,31
1358,char,31
1359,live,31
1360,crazy,31
1361,glenrothes,31
1362,dull,30
1363,fore,30
1364,curious,30
1365,coated,30
1366,noticeably,30
1367,couple,30
1368,pity,30
1369,crust,30
1370,bonfire,30
1371,directly,30
1372,favourite,30
1373,37,30
1374,star,30
1375,statement,30
1376,builds,30
1377,normal,30
1378,book,30
1379,10yo,30
1380,signature,30
1381,positive,30
1382,finishing,30
1383,treacle,30
1384,03,30
1385,tears,30
1386,wasn,30
1387,taken,30
1388,leaving,30
1389,produced,30
1390,quince,30
1391,lychee,30
1392,mirabelle,30
1393,cotton,30
1394,1980,30
1395,detect,30
1396,blackcurrant,30
1397,glenfiddich,30
1398,cs,30
1399,1992,30
1400,chance,29
1401,olive,29
1402,joined,29
1403,vatting,29
1404,accessible,29
1405,plain,29
1406,vinous,29
1407,regular,29
1408,priced,29
1409,tarry,29
1410,spray,29
1411,grated,29
1412,extreme,29
1413,reasonable,29
1414,comparable,29
1415,smokes,29
1416,monster,29
1417,auchentoshan,29
1418,05,29
1419,absolute,29
1420,interwoven,29
1421,cup,29
1422,complain,29
1423,famous,29
1424,join,29
1425,minor,29
1426,paste,29
1427,rotten,29
1428,wheat,29
1429,vintages,29
1430,pink,29
1431,honeys,29
1432,started,29
1433,lemonade,29
1434,stills,29
1435,company,29
1436,violet,29
1437,oldest,29
1438,pay,29
1439,cocktail,29
1440,3rd,29
1441,stunning,29
1442,cider,28
1443,milky,28
1444,medical,28
1445,amazingly,28
1446,percent,28
1447,lasts,28
1448,potential,28
1449,lacking,28
1450,echoes,28
1451,reserved,28
1452,recognizable,28
1453,uncomplicated,28
1454,chalky,28
1455,samples,28
1456,greasy,28
1457,bbq,28
1458,barbecue,28
1459,2003,28
1460,inside,28
1461,scotia,28
1462,rises,28
1463,components,28
1464,imho,28
1465,13,28
1466,81,28
1467,triple,28
1468,wise,28
1469,industrial,28
1470,september,28
1471,quiet,28
1472,paint,28
1473,splash,28
1474,offering,28
1475,gunpowder,28
1476,stock,28
1477,rated,28
1478,called,28
1479,hour,28
1480,canned,28
1481,matches,28
1482,96,28
1483,5th,28
1484,jd,28
1485,bland,27
1486,lead,27
1487,helps,27
1488,design,27
1489,beginners,27
1490,creme,27
1491,overpowering,27
1492,incredible,27
1493,nearly,27
1494,packaging,27
1495,pushes,27
1496,01,27
1497,tag,27
1498,47,27
1499,sounds,27
1500,departure,27
1501,blueberry,27
1502,fuller,27
1503,suddenly,27
1504,plays,27
1505,intrusive,27
1506,lenght,27
1507,presentation,27
1508,brought,27
1509,luckily,27
1510,aeration,27
1511,shines,27
1512,scotland,27
1513,77,27
1514,active,27
1515,enthusiasm,27
1516,online,27
1517,moderately,27
1518,presence,27
1519,blender,27
1520,increasing,27
1521,peanut,27
1522,thinner,27
1523,breakfast,27
1524,melted,27
1525,1990,27
1526,cooling,27
1527,paired,26
1528,cheaper,26
1529,funny,26
1530,metal,26
1531,medicine,26
1532,fresher,26
1533,lower,26
1534,problem,26
1535,briny,26
1536,intensive,26
1537,impact,26
1538,night,26
1539,ilikesky2020,26
1540,seconds,26
1541,promised,26
1542,emptied,26
1543,story,26
1544,umami,26
1545,masterpiece,26
1546,rise,26
1547,differences,26
1548,retail,26
1549,possibly,26
1550,chew,26
1551,complemented,26
1552,cranberries,26
1553,rock,26
1554,additional,26
1555,79,26
1556,words,26
1557,picture,26
1558,overpriced,26
1559,structure,26
1560,robust,26
1561,transition,26
1562,2007,26
1563,yeah,26
1564,mortlach,26
1565,56,26
1566,bush,26
1567,dream,26
1568,warms,26
1569,explore,26
1570,player,26
1571,magnificent,26
1572,63,26
1573,karuizawas,26
1574,brand,25
1575,suggests,25
1576,daily,25
1577,continue,25
1578,clay,25
1579,promising,25
1580,fans,25
1581,substantial,25
1582,olives,25
1583,near,25
1584,treat,25
1585,eye,25
1586,reviews,25
1587,bunnahabhain,25
1588,parts,25
1589,scales,25
1590,translate,25
1591,briefly,25
1592,suggest,25
